CódigoItem,Descricao,Cidade Entrega,UF,Data Emissão NF,Valor
010912020,LOIC-2000S - USADACFC-2,Rio Brilhante,MS,2005-01-28,28218.82
09361020,LILC-150AP 24 FACAS - FLCRC-1,Betim,MG,2005-02-01,18917.65
016300020,LOIC-1800 H SUPERCFC-1,Campo Grande,MS,2005-02-04,14792.55
016300020,LOIC-1800 H SUPERCFC-1,Sao Caetano Do S,SP,2005-02-14,9705.29
016300020,LOIC-1800 H SUPERCFC-1,Sao Caetano Do S,SP,2005-02-14,9705.29
016300020,LOIC-1800 H SUPERCFC-1,Sao Caetano Do S,SP,2005-02-14,9705.29
016300020,LOIC-1800 H SUPERCFC-1,Sao Caetano Do S,SP,2005-02-14,9705.29
016300020,LOIC-1800 H SUPERCFC-1,Sao Caetano Do S,SP,2005-02-14,9705.28
08424020,GILON 18000SGILON,Sao Caetano Do S,SP,2005-02-14,14309.27
08424020,GILON 18000SGILON,Sao Caetano Do S,SP,2005-02-14,14309.27
08424020,GILON 18000SGILON,Sao Caetano Do S,SP,2005-02-14,14309.27
08424020,GILON 18000SGILON,Sao Caetano Do S,SP,2005-02-14,14309.27
08424020,GILON 18000SGILON,Sao Caetano Do S,SP,2005-02-14,14309.27
